step,u_max,rho_mean,particle_count,particle_speed_mean,particle_speed_max,generated_particles,removed_particles
1750,0.013685302491667276,1.0014826761510565,34,0.003923399899620761,0.004904160448713535,34,0
3000,0.013404997193865521,1.0014904915726408,64,0.00426345135878668,0.00847610036909066,64,0
4250,0.012146573108021393,1.0014841135497337,92,0.004612658652519431,0.011168412086546982,92,0
5500,0.008142719719399425,1.001457635140657,112,0.002819336355447573,0.0076195462353585205,112,0
6750,0.006779287622039273,1.001487498312825,124,0.0017953538567963372,0.0053376036777347535,124,0
8000,0.006219670774897803,1.001468796189681,133,0.0011952051811455525,0.00245603991131119,133,0
9250,0.005692019777407325,1.0015128894710215,140,0.0010800839871877945,0.0029762927053251778,140,0
10500,0.004912240891737533,1.0015259702305381,146,0.0008608946891621237,0.0023842299176799323,146,0
11750,0.0043286590890900525,1.0015323924105857,151,0.0008081008530551956,0.0021242863702773942,151,0
13000,0.003999147726484553,1.0015605230773554,156,0.0009433077311329164,0.004350816769011685,156,0
14250,0.003940504497017662,1.00154943704129,160,0.0006692055665680366,0.002305441030702675,160,0
15500,0.004182124671829585,1.0015384693606668,164,0.0006469656914367029,0.0020742394529261556,164,0
16750,0.003352966051185954,1.00153633863747,168,0.0005912419062200957,0.0037157251033932987,168,0
18000,0.003154231165145949,1.0015083861203946,170,0.0005365956425464298,0.0012446432890559716,171,1
19250,0.003088774006013102,1.0015256651799918,172,0.0005290406608879311,0.0015244530224803052,174,2
20500,0.002729060700545823,1.0015281916931926,175,0.0005053049412213372,0.0010798113522465028,177,2
21750,0.002812956706377427,1.00150674360097,178,0.0005142622962176036,0.0013063220325477722,180,2
23000,0.002960834322197196,1.0015148114863988,180,0.0005158583588653008,0.001466667066508876,183,3
24250,0.0030036252833871616,1.0015168401555625,182,0.0005143338784913074,0.0012423097443394746,185,3
25500,0.0024443489662655526,1.0014888698862745,185,0.0004879149885420425,0.0013372941311397006,188,3
26750,0.0024653989693298652,1.0015056185846984,187,0.00046345424225890643,0.0012056592175135356,190,3
28000,0.002259788303110361,1.0015353410004666,188,0.00045908720638078085,0.0010959390191189154,192,4
29250,0.0022535065584914807,1.0015143703357157,190,0.000498970595658688,0.0013683499847457386,194,4
30500,0.002226929023422076,1.0014978746127168,193,0.00044732936605149256,0.0011011904091301813,197,4
31750,0.0024287746942022424,1.0015023604142743,193,0.000464906994116074,0.001139429145645001,199,6
33000,0.0034324301438417686,1.0015227722088795,194,0.0005300448535568419,0.00328265197223652,201,7
34250,0.0028960425151847895,1.0015171501596933,195,0.000526838498842176,0.0018185281398493047,203,8
35500,0.0023101806642701,1.0014773867924958,196,0.00048070738256435956,0.0010420642155911297,205,9
36750,0.0026834140210483786,1.0014989841349897,198,0.0005088460682752702,0.002006430512562936,207,9
38000,0.0025696871742817875,1.0015144709736257,200,0.0005148104767973218,0.0033074585901420104,209,9
39250,0.002608250083417642,1.001511601382975,201,0.00048566515573380186,0.0018379285076016818,211,10
40500,0.0027605968586094155,1.0014796353524518,203,0.0005088615026181926,0.0012918273543058058,213,10
41750,0.0027235562083418505,1.0014841436322177,205,0.0005803863565400168,0.0016624886406787867,215,10
43000,0.0029272324961466204,1.0014863658015196,207,0.0005799492548196275,0.0014666443996498328,217,10
44250,0.00296777003471753,1.001488194320937,210,0.0005686350566713368,0.001436509086170802,220,10
45500,0.003041232579498972,1.0014906180700291,212,0.0005513737538080293,0.0014049383558605885,222,10
46750,0.0028416156082589515,1.0014674266513972,215,0.0005420779869776699,0.0017684409436657404,225,10
48000,0.0033418880495697085,1.0014279568007902,217,0.0005086725335018981,0.0012137513196736039,227,10
49250,0.0031816316987230996,1.0014810106829772,219,0.0005118368675343303,0.0011408494018334506,229,10
50500,0.003216806571987301,1.0014507808418032,221,0.0005187587356631988,0.0012372499337540842,231,10
51750,0.0030774100136239076,1.001428589367592,223,0.0005805384221039651,0.0033756604802957714,233,10
53000,0.003165050859589095,1.0014363264684971,226,0.0005268576165480084,0.0021420644671931804,236,10
54250,0.004941687177924583,1.0014239326917125,228,0.0005642846372790767,0.003275170882846853,238,10
55500,0.0028519163947526593,1.0013878492682586,230,0.0005308376769956929,0.0011740702055229306,240,10
56750,0.003141019276585296,1.0013537764895024,232,0.000504030012931434,0.0012740953229022393,242,10
58000,0.0048916268526389105,1.0014013680495377,234,0.0005803702089452323,0.0065056289343273285,244,10
59250,0.003146330360538786,1.0013992461202543,236,0.0004889731390855688,0.0013149571940965059,246,10
60500,0.0031652570036601693,1.0013917533619408,238,0.00048502652565498265,0.0013731355749188297,248,10
61750,0.003278460215927733,1.0013637158040443,240,0.0004984408642212687,0.0015513256928151187,250,10
63000,0.0032883457803957604,1.0014133897771813,242,0.0004957367783938856,0.001603656740235693,252,10
64250,0.0032748610661177983,1.0014130620761206,244,0.0005060044689687966,0.0037277871290735563,254,10
65500,0.002907635994152353,1.0014422961084928,247,0.0004974899890239314,0.0017587383163900063,257,10
66750,0.0025093268610165394,1.001387791085778,248,0.00046302716741584006,0.0011049755874047952,258,10
68000,0.0022920015498157707,1.001371457430454,250,0.00046226513183494927,0.001155949316594775,260,10
69250,0.002412748245917301,1.001380456190952,252,0.0004631251239352021,0.0013998972949056656,262,10
70500,0.0027734042194060594,1.0013290956540126,254,0.0004518807528518139,0.0010676720661257752,264,10
71750,0.002715598662037655,1.0013558632703268,255,0.00045267608841960963,0.0021846029855287666,265,10
73000,0.002684708646871643,1.001357461652648,257,0.0004521965874473955,0.0010881498759239513,267,10
74250,0.0024647759246042163,1.0013175485543562,259,0.00044941480293014406,0.0014284688671513679,269,10
75500,0.002571858668637584,1.0013672591655678,261,0.0004568280413485362,0.001234559617725024,271,10
76750,0.0025026352218206972,1.001385749565779,263,0.0004761546045035789,0.0011216575568660475,273,10
78000,0.005965486589560673,1.0013893382532075,265,0.0005154046662873074,0.003709610604096492,275,10
79250,0.002420904842673659,1.0013404613378596,266,0.0004417524903697142,0.0010758246283771814,276,10
80500,0.0024194446840973016,1.0013712007329592,268,0.00047733820158497343,0.002450739221357583,278,10
81750,0.002405904783392926,1.0013410766988675,270,0.0004659519989099011,0.0011262291917645537,280,10
83000,0.0024564901504640917,1.0013503443180705,271,0.0004742637500702216,0.002028288403487667,281,10
84250,0.002354487199066248,1.0013419640879475,273,0.00046167823428702287,0.0010635323184260855,283,10
85500,0.0023585323018707996,1.0013357424354177,275,0.00046584373361869055,0.001082292569060706,285,10
86750,0.0024034023571174955,1.0013133400719638,277,0.00047470596770570383,0.0010629371917428,287,10
88000,0.0024192141442205195,1.0013133193885981,278,0.00045715750428960847,0.001061894873091595,288,10
89250,0.0024410320341953684,1.0013097067499062,280,0.00046341797996533716,0.0010561568721504393,290,10
90500,0.00244768853736351,1.0013098874104616,282,0.0004683129151953953,0.0010508137653246308,292,10
91750,0.0028930718370663838,1.001324255060422,283,0.0004991514006723612,0.004426349994018226,293,10
93000,0.002433698006293193,1.0013085956867245,285,0.0004642081185022057,0.0010592558526858287,295,10
94250,0.0024494701650121706,1.0013010118795866,286,0.0004698568799488745,0.001059939129223422,296,10
95500,0.0024109158189312484,1.0013261127069137,288,0.0004788598334754194,0.0011914120174833249,298,10
96750,0.0022768599961736297,1.0013014079322335,289,0.0004748606330952322,0.0013393796359613258,299,10
98000,0.0023429762337090023,1.0012848983807325,291,0.00046926914377817006,0.0010271528510405034,301,10
99250,0.0022667324238522784,1.0012987737529253,292,0.0004799573807884417,0.001052953552707997,302,10
100500,0.002290924660360508,1.0012864303486568,294,0.0004782985615417988,0.0010776702473504042,304,10
101750,0.002265472179658919,1.0012799148587799,295,0.00048337246782474843,0.0010682639700382581,305,10
103000,0.0023789326187927833,1.0012904356171828,297,0.0004822528156760724,0.001337882528494091,307,10
104250,0.002319552835686395,1.0012862446002417,298,0.00047449517334211417,0.0010911104009850695,308,10
105500,0.0023309811428162317,1.0012865170137393,300,0.00047210087563698304,0.0010879106024463323,310,10
106750,0.002306866842498705,1.0012604211163718,301,0.00046100932311554893,0.0010681508455549357,311,10
108000,0.0022536615547944987,1.0012597441550497,303,0.00046283410286075346,0.0010656389970362151,313,10
109250,0.002253898149870707,1.0012572209647157,304,0.00046757035228204213,0.001241463998173171,314,10
110500,0.002251310348874469,1.0012666921717477,306,0.0004655127890820281,0.0012978445391681392,316,10
111750,0.002231535300048694,1.001258784816831,307,0.0004652775349209068,0.0011019526380305967,317,10
113000,0.0022473955452005766,1.0012633849057602,309,0.0004764333919427275,0.0010598363000931263,319,10
114250,0.002294419793895015,1.0012506495404006,310,0.00048089673323929044,0.001022609836617442,320,10
115500,0.003093516220511571,1.0012682237560058,312,0.0005083090896099189,0.003680957092064035,322,10
116750,0.002256838442505141,1.0012507721752297,313,0.0004844867996979337,0.0011167456141027749,323,10
118000,0.002258219392929037,1.001247028720705,315,0.00047615853167367136,0.001760066930295393,325,10
119250,0.0023301666337335976,1.0012410891793266,316,0.0004758839001811992,0.0010128516017616051,326,10
120500,0.00232272445468799,1.001267982244825,318,0.0004930488465838554,0.0012137122636902268,328,10
121750,0.0023519551006167135,1.0012304634668199,319,0.0004740768894241399,0.0010183342468568632,329,10
123000,0.003044644652895725,1.0012467624075176,321,0.0004818193602120315,0.001253149228013206,331,10
124250,0.002400312909715001,1.0012435442601253,322,0.0004761974330682627,0.001005850609394954,332,10
125500,0.003122732965536521,1.001264805263733,324,0.0004946105847422818,0.0027703544095655417,334,10
